address,orientation,distance_m
"UNIT 51, 5-17 PACIFIC HIGHWAY",West,3036.45
"UNIT 6, 5-17 PACIFIC HIGHWAY",West,3039.61
"UNIT 7, 5-17 PACIFIC HIGHWAY",West,3034.17
"UNIT 8, 5-17 PACIFIC HIGHWAY",West,3036.5
"UNIT 9, 5-17 PACIFIC HIGHWAY",West,3032.13
26 TRAFALGAR AVENUE,West,3826.92
29 TRAFALGAR AVENUE,West,3694.89
10B BOUNDARY STREET,West,2878.76
101 BOUNDARY STREET,North,2290.82
103 BOUNDARY STREET,North,2277.85
31 MARGARET STREET,North,2279.26
5 MARGARET STREET,North,2389.85
7 MARGARET STREET,North,2368.01
41 BROMBOROUGH ROAD,West,3822.55
42 BROMBOROUGH ROAD,West,3795.26
43 BROMBOROUGH ROAD,West,3831.72
7 HAIG STREET,North,2596.51
9 HAIG STREET,North,2613.56
98 BOUNDARY STREET,North,2229.13
1A BROMBOROUGH ROAD,West,3626.98
10 BROMBOROUGH ROAD,West,3624.49
12 BROMBOROUGH ROAD,West,3633.74
14 BROMBOROUGH ROAD,West,3643.01
15 BROMBOROUGH ROAD,West,3701.0
17 BROMBOROUGH ROAD,West,3710.17
18 BROMBOROUGH ROAD,West,3671.49
"UNIT 7, 134 PACIFIC HIGHWAY",West,3466.51
"UNIT 8, 134 PACIFIC HIGHWAY",West,3466.51
"UNIT 5, 154 PACIFIC HIGHWAY",West,3530.07
"UNIT 7, 154 PACIFIC HIGHWAY",West,3530.07
7 EDITH STREET,North,25.93
32B REMBRANDT DRIVE,North,348.47
279 EASTERN VALLEY WAY,North,779.85
281 EASTERN VALLEY WAY,North,799.12
285 EASTERN VALLEY WAY,North,820.84
"APARTMENT 506B, 34 PENSHURST STREET",North,1025.84
"UNIT 402, 11 VICTORIA STREET",West,2866.43
"UNIT 1, 11 VICTORIA STREET",West,2866.43
"APARTMENT 303B, 34 PENSHURST STREET",North,1030.24
"UNIT 302, 11 VICTORIA STREET",West,2866.43
"APARTMENT 406B, 34 PENSHURST STREET",North,1025.84
"APARTMENT 310A, 34 PENSHURST STREET",North,985.33
"UNIT 206, 9 VICTORIA STREET",West,2866.43
"APARTMENT 205B, 34 PENSHURST STREET",North,1025.84
"UNIT 207, 9 VICTORIA STREET",West,2866.43
"APARTMENT 308B, 34 PENSHURST STREET",North,1015.64
"APARTMENT 403B, 34 PENSHURST STREET",North,1030.24
"APARTMENT 204A, 34 PENSHURST STREET",North,1000.71
"UNIT 403, 11 VICTORIA STREET",West,2866.43
"APARTMENT 404B, 34 PENSHURST STREET",North,1030.24
"UNIT 203, 11 VICTORIA STREET",West,2866.43
"APARTMENT 402A, 34 PENSHURST STREET",North,1000.71
"UNIT 3, 42 FRENCHS ROAD",North,806.13
1 HARBOUR LANE,North,289.08
"UNIT 1, 1A ARTARMON ROAD",North,1123.08
"UNIT 2, 1A ARTARMON ROAD",North,1123.08
"UNIT 3, 1A ARTARMON ROAD",North,1123.08
"UNIT 4, 1A ARTARMON ROAD",North,1123.08
"UNIT 15, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 16, 55 PACIFIC HIGHWAY",West,3171.54
"UNIT 21, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 22, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 26, 55 PACIFIC HIGHWAY",West,3171.54
"UNIT 36, 180 PACIFIC HIGHWAY",West,3629.16
124-130 PACIFIC HIGHWAY,West,3427.2
86A MACQUARIE STREET,West,2367.93
124 PACIFIC HIGHWAY,West,3427.2
3B MELNOTTE AVENUE,West,2633.04
30 GRIFFITH AVENUE,North,2295.87
5A TUNKS STREET,North-East,557.76
42 ARCHBOLD ROAD,North,3399.04
"UNIT 16, 6-10 CHURCH STREET",West,1250.1
"UNIT 15, 6-10 CHURCH STREET",West,1250.1
"UNIT 14, 6-10 CHURCH STREET",West,1250.1
"UNIT 13, 6-10 CHURCH STREET",West,1250.1
"UNIT 12, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 13, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 16, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 18, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 13, 6 VICTORIA STREET",West,2989.22
"UNIT 207, 7 VICTORIA STREET",West,2866.43
"UNIT 8, 1 VICTORIA STREET",West,2866.43
"UNIT 202, 1 VICTORIA STREET",West,2866.43
10A THE POSTERN,South,25.95
"UNIT 10, 10 NOLA ROAD",West,3190.31
"UNIT 11, 10 NOLA ROAD",West,3190.31
"UNIT 12, 10 NOLA ROAD",West,3190.31
"UNIT 13, 10 NOLA ROAD",West,3190.31
"UNIT 14, 10 NOLA ROAD",West,3190.31
"UNIT 1, 8 NOLA ROAD",West,3190.31
"UNIT 2, 10 NOLA ROAD",West,3190.31
"UNIT 2, 12 NOLA ROAD",West,3190.31
"UNIT 3, 10 NOLA ROAD",West,3190.31
"UNIT 3, 8 NOLA ROAD",West,3190.31
"UNIT 4, 10 NOLA ROAD",West,3190.31
"UNIT 5, 10 NOLA ROAD",West,3190.31
"UNIT 5, 12 NOLA ROAD",West,3190.31
"UNIT 6, 10 NOLA ROAD",West,3190.31
"UNIT 7, 10 NOLA ROAD",West,3190.31
"UNIT 7, 12 NOLA ROAD",West,3190.31
"UNIT 8, 12 NOLA ROAD",West,3190.31
"UNIT 9, 10 NOLA ROAD",West,3190.31
"UNIT 9, 12 NOLA ROAD",West,3190.31
11 REMBRANDT DRIVE,North,328.88
10 REMBRANDT DRIVE,North,287.02
9 CAMBRIDGE STREET,West,831.15
81A REMBRANDT DRIVE,North,116.41
